Date,VOD
2018-01-02,24.338699340820312
2018-01-03,24.179967880249023
2018-01-04,24.421842575073242
2018-01-05,24.625925064086914
2018-01-08,24.69394874572754
2018-01-09,24.641040802001953
2018-01-10,23.9229736328125
2018-01-11,23.76424217224121
2018-01-12,24.13461685180664
2018-01-16,24.436962127685547
2018-01-17,23.673542022705078
2018-01-18,23.87006378173828
2018-01-19,23.87006378173828
2018-01-22,24.308462142944336
2018-01-23,24.429401397705078
2018-01-24,24.467193603515625
2018-01-25,24.338699340820312
2018-01-26,24.4898681640625
2018-01-29,24.25555419921875
2018-01-30,24.232879638671875
2018-01-31,24.35381317138672
2018-02-01,23.288049697875977
2018-02-02,23.469457626342773
2018-02-05,22.00309181213379
2018-02-06,22.388578414916992
2018-02-07,22.21472930908203
2018-02-08,21.466426849365234
2018-02-09,21.572248458862305
2018-02-12,21.504222869873047
2018-02-13,21.40595817565918
2018-02-14,21.519338607788086
2018-02-15,21.73097801208496
2018-02-16,21.904827117919922
2018-02-20,21.655393600463867
2018-02-21,21.35304832458496
2018-02-22,21.436193466186523
2018-02-23,21.889711380004883
2018-02-26,22.018207550048828
2018-02-27,21.602481842041016
2018-02-28,21.398399353027344
2018-03-01,21.096057891845703
2018-03-02,21.20187759399414
2018-03-05,21.436193466186523
2018-03-06,21.587366104125977
2018-03-07,21.640274047851562
2018-03-08,21.889711380004883
2018-03-09,21.95018196105957
2018-03-12,21.95018196105957
2018-03-13,21.64783477783203
2018-03-14,21.723421096801758
2018-03-15,21.496665954589844
2018-03-16,21.542015075683594
2018-03-19,21.37572479248047
2018-03-20,21.111175537109375
2018-03-21,21.292579650878906
2018-03-22,20.680335998535156
2018-03-23,20.71812629699707
2018-03-26,21.05070686340332
2018-03-27,20.85418128967285
2018-03-28,20.914649963378906
2018-03-29,21.028032302856445
2018-04-02,20.72568702697754
2018-04-03,20.922208786010742
2018-04-04,21.398399353027344
2018-04-05,21.7536563873291
2018-04-06,21.78388786315918
2018-04-09,21.882150650024414
2018-04-10,22.229846954345703
2018-04-11,22.229846954345703
2018-04-12,22.47928237915039
2018-04-13,22.5019588470459
2018-04-16,22.675806045532227
2018-04-17,22.54730796813965
2018-04-18,22.47928237915039
2018-04-19,22.267637252807617
2018-04-20,22.47928237915039
2018-04-23,22.728713989257812
2018-04-24,22.554868698120117
2018-04-25,22.358346939086914
2018-04-26,22.622894287109375
2018-04-27,22.30543327331543
2018-04-30,22.229846954345703
2018-05-01,22.018207550048828
2018-05-02,22.010648727416992
2018-05-03,21.912385940551758
2018-05-04,21.806564331054688
2018-05-07,21.799007415771484
2018-05-08,21.587366104125977
2018-05-09,21.768774032592773
2018-05-10,21.7536563873291
2018-05-11,21.746097564697266
2018-05-14,21.44375228881836
2018-05-15,20.438461303710938
2018-05-16,20.105876922607422
2018-05-17,20.113439559936523
2018-05-18,19.962263107299805
2018-05-21,20.060527801513672
2018-05-22,20.362873077392578
2018-05-23,20.09832000732422
2018-05-24,19.879121780395508
2018-05-25,19.77330207824707
2018-05-29,19.584335327148438
2018-05-30,19.780858993530273
2018-05-31,19.59945297241211
2018-06-01,19.841327667236328
2018-06-04,19.962263107299805
2018-06-05,19.833770751953125
2018-06-06,20.04541015625
2018-06-07,19.9534854888916
2018-06-08,19.97726058959961
2018-06-11,20.08820152282715
2018-06-12,20.016883850097656
2018-06-13,19.56519889831543
2018-06-14,19.795001983642578
2018-06-15,19.60481834411621
2018-06-18,19.40671157836914
2018-06-19,19.422557830810547
2018-06-20,19.48595428466797
2018-06-21,19.39086151123047
2018-06-22,19.707834243774414
2018-06-25,19.446332931518555
2018-06-26,19.264070510864258
2018-06-27,19.05011558532715
2018-06-28,19.208600997924805
2018-06-29,19.264070510864258
2018-07-02,19.208600997924805
2018-07-03,19.462182998657227
2018-07-05,19.795001983642578
2018-07-06,20.064430236816406
2018-07-09,19.969341278076172
2018-07-10,19.985185623168945
2018-07-11,19.248220443725586
2018-07-12,19.303693771362305
2018-07-13,19.145204544067383
2018-07-16,19.192750930786133
2018-07-17,18.923322677612305
2018-07-18,18.76483726501465
2018-07-19,18.44786834716797
2018-07-20,18.582578659057617
2018-07-23,18.6221981048584
2018-07-24,18.76483726501465
2018-07-25,18.6221981048584
2018-07-26,18.598424911499023
2018-07-27,18.867855072021484
2018-07-30,19.723684310913086
2018-07-31,19.454254150390625
2018-08-01,19.359163284301758
2018-08-02,19.018415451049805
2018-08-03,19.29576873779297
2018-08-06,19.287845611572266
2018-08-07,19.335390090942383
2018-08-08,19.31161880493164
2018-08-09,19.20067596435547
2018-08-10,18.78068733215332
2018-08-13,18.598424911499023
2018-08-14,18.360694885253906
2018-08-15,18.012025833129883
2018-08-16,18.107118606567383
2018-08-17,18.05164909362793
2018-08-20,18.18636131286621
2018-08-21,18.360694885253906
2018-08-22,18.336923599243164
2018-08-23,18.099193572998047
2018-08-24,18.091270446777344
2018-08-27,18.305225372314453
2018-08-28,18.130887985229492
2018-08-29,18.210134506225586
2018-08-30,17.338457107543945
2018-08-31,17.124500274658203
2018-09-04,16.839223861694336
2018-09-05,16.878843307495117
2018-09-06,17.029407501220703
2018-09-07,16.997711181640625
2018-09-10,17.15619659423828
2018-09-11,17.275062561035156
2018-09-12,17.386003494262695
2018-09-13,17.647504806518555
2018-09-14,17.615808486938477
2018-09-17,17.718822479248047
2018-09-18,17.869386672973633
2018-09-19,17.861465454101562
2018-09-20,17.92485809326172
2018-09-21,18.075420379638672
2018-09-24,17.94862937927246
2018-09-25,17.861465454101562
2018-09-26,17.5920352935791
