Date,M
2020-02-03,15.236178398132324
2020-02-04,15.245433807373047
2020-02-05,16.152568817138672
2020-02-06,15.689746856689453
2020-02-07,15.180639266967773
2020-02-10,15.023280143737793
2020-02-11,15.143613815307617
2020-02-12,15.736029624938965
2020-02-13,15.49535846710205
2020-02-14,15.430563926696777
2020-02-18,14.875174522399902
2020-02-19,15.07882022857666
2020-02-20,15.402795791625977
2020-02-21,15.023280143737793
2020-02-24,14.301273345947266
2020-02-25,13.514472961425781
2020-02-26,12.579566955566406
2020-02-27,11.940868377685547
2020-02-28,12.246332168579102
2020-03-02,12.024176597595215
2020-03-03,11.709456443786621
2020-03-04,11.718711853027344
2020-03-05,10.719013214111328
2020-03-06,10.635704040527344
2020-03-09,9.65451717376709
2020-03-10,9.580464363098145
2020-03-11,8.784405708312988
2020-03-12,7.114675521850586
2020-03-13,7.741306781768799
2020-03-16,6.46876335144043
2020-03-17,6.459122657775879
2020-03-18,5.97709846496582
2020-03-19,6.449482440948486
2020-03-20,5.803569793701172
2020-03-23,4.63707160949707
2020-03-24,5.456511974334717
2020-03-25,6.372358322143555
2020-03-26,5.726446151733398
2020-03-27,5.331186294555664
2020-03-30,5.176938533782959
2020-03-31,4.733476161956787
2020-04-01,4.270732402801514
2020-04-02,4.290014266967773
2020-04-03,4.63707160949707
2020-04-06,5.427590847015381
2020-04-07,5.697524547576904
2020-04-08,5.793929576873779
2020-04-09,6.420560359954834
2020-04-13,5.938536167144775
2020-04-14,5.97709846496582
2020-04-15,5.523995876312256
2020-04-16,5.55291748046875
2020-04-17,5.707165241241455
2020-04-20,5.119096279144287
2020-04-21,5.032331466674805
2020-04-22,4.646711826324463
2020-04-23,4.714195251464844
2020-04-24,4.839521408081055
2020-04-27,5.30226469039917
2020-04-28,5.774648189544678
2020-04-29,5.851772308349609
2020-04-30,5.649321556091309
2020-05-01,5.16729736328125
2020-05-04,5.080533981323242
2020-05-05,4.974488258361816
2020-05-06,4.8105998039245605
2020-05-07,4.897365093231201
2020-05-08,5.176938533782959
2020-05-11,5.080533981323242
2020-05-12,4.8105998039245605
2020-05-13,4.839521408081055
2020-05-14,4.829881191253662
2020-05-15,5.119096279144287
2020-05-18,5.2251410484313965
2020-05-19,4.887724876403809
2020-05-20,4.887724876403809
2020-05-21,5.176938533782959
2020-05-22,5.022690773010254
2020-05-26,5.948176860809326
2020-05-27,7.114675521850586
2020-05-28,6.584449291229248
2020-05-29,6.131346225738525
2020-06-01,6.140986442565918
2020-06-02,6.709774971008301
2020-06-03,7.577418327331543
2020-06-04,7.9148359298706055
2020-06-05,8.454702377319336
2020-06-08,9.206659317016602
2020-06-09,8.551106452941895
2020-06-10,7.654542446136475
2020-06-11,6.516965389251709
2020-06-12,7.037551403045654
2020-06-15,6.931506633758545
2020-06-16,7.365328311920166
2020-06-17,6.8929443359375
2020-06-18,7.027911186218262
2020-06-19,6.632651329040527
2020-06-22,6.825460433959961
2020-06-23,6.8929443359375
2020-06-24,6.536246299743652
2020-06-25,6.266313076019287
2020-06-26,5.803569793701172
2020-06-29,6.381998538970947
2020-06-30,6.632651329040527
2020-07-01,6.343436241149902
2020-07-02,6.555528163909912
2020-07-06,6.372358322143555
2020-07-07,6.324156284332275
2020-07-08,6.613370418548584
2020-07-09,6.391639232635498
2020-07-10,6.526605606079102
2020-07-13,6.333796977996826
2020-07-14,6.488044261932373
2020-07-15,6.95078706741333
2020-07-16,6.64229154586792
2020-07-17,6.4109206199646
2020-07-20,6.179548263549805
2020-07-21,6.555528163909912
2020-07-22,6.2277512550354
2020-07-23,6.430201053619385
2020-07-24,6.21811056137085
2020-07-27,5.986739635467529
2020-07-28,6.198829174041748
2020-07-29,6.256672382354736
2020-07-30,5.9963788986206055
2020-07-31,5.842131614685059
2020-08-03,5.880693435668945
2020-08-04,5.9096150398254395
2020-08-05,6.169908046722412
2020-08-06,6.015659809112549
2020-08-07,6.381998538970947
2020-08-10,6.883303642272949
2020-08-11,6.77725887298584
2020-08-12,6.864022254943848
2020-08-13,6.719414710998535
2020-08-14,6.931506633758545
2020-08-17,6.8929443359375
2020-08-18,6.314515590667725
2020-08-19,6.2855939865112305
2020-08-20,6.054222106933594
2020-08-21,6.03494119644165
2020-08-24,6.372358322143555
2020-08-25,6.333796977996826
2020-08-26,6.275953769683838
2020-08-27,6.381998538970947
2020-08-28,6.700134754180908
2020-08-31,6.719414710998535
2020-09-01,6.7579779624938965
2020-09-02,6.796539783477783
2020-09-03,7.33640718460083
2020-09-04,7.374969005584717
2020-09-08,7.3460469245910645
2020-09-09,7.278563976287842
2020-09-10,7.133956432342529
2020-09-11,6.796539783477783
2020-09-14,6.9411468505859375
2020-09-15,6.623010635375977
2020-09-16,6.729055881500244
2020-09-17,6.613370418548584
2020-09-18,6.516965389251709
2020-09-21,6.083143711090088
2020-09-22,6.044581890106201
2020-09-23,5.890334129333496
2020-09-24,5.813210964202881
2020-09-25,5.813210964202881
2020-09-28,5.745727062225342
2020-09-29,5.466153621673584
2020-09-30,5.495074272155762
2020-10-01,5.630041599273682
