Date,Adj Close
1987-09-15,317.739990234375
1987-09-16,314.8599853515625
1987-09-17,314.92999267578125
1987-09-18,314.8599853515625
1987-09-21,310.5400085449219
1987-09-22,319.5
1987-09-23,321.19000244140625
1987-09-24,319.7200012207031
1987-09-25,320.1600036621094
1987-09-28,323.20001220703125
1987-09-29,321.69000244140625
1987-09-30,321.8299865722656
1987-10-01,327.3299865722656
1987-10-02,328.07000732421875
1987-10-05,328.0799865722656
1987-10-06,319.2200012207031
1987-10-07,318.5400085449219
1987-10-08,314.1600036621094
1987-10-09,311.07000732421875
1987-10-12,309.3900146484375
1987-10-13,314.5199890136719
1987-10-14,305.2300109863281
1987-10-15,298.0799865722656
1987-10-16,282.70001220703125
1987-10-19,224.83999633789062
1987-10-20,236.8300018310547
1987-10-21,258.3800048828125
1987-10-22,248.25
1987-10-23,248.22000122070312
1987-10-26,227.6699981689453
1987-10-27,233.19000244140625
1987-10-28,233.27999877929688
1987-10-29,244.77000427246094
1987-10-30,251.7899932861328
1987-11-02,255.75
1987-11-03,250.82000732421875
1987-11-04,248.9600067138672
1987-11-05,254.47999572753906
1987-11-06,250.41000366210938
1987-11-09,243.1699981689453
1987-11-10,239.0
1987-11-11,241.89999389648438
